ID,Full Guideline,Slogan,Restructured,Example,Argument,Support/Citation,Data Domain,Tool Used/Mentioned,Dashboard Type,Authors,Work,Year,Publisher,How I found it ,Format,Reason for Rating,Subjective Trust Score:,Link,Guideline + Slogan
D001.001,think about your dashboard on different devices.,Decide on the layout,"When designing, think about your dashboard on different devices.",,"Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,Decide on the layout: think about your dashboard on different devices.
D001.002,"The areas of the dashboard that get the most attention are the top and down the left. Therefore this is where your most important information, visuals, and interactive elements should be used.",Decide on the layout,"When designing your dashboard, place your most important information, visuals, and interactive elements in the top and down the left because the areas of the dashboard that get the most attention are the top and down the left.",The retail analysis dashboard below shows high-level metrics at the top and works down to the more granular data such as sales by city.,"Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,"Decide on the layout: The areas of the dashboard that get the most attention are the top and down the left. Therefore this is where your most important information, visuals, and interactive elements should be used."
D001.003,"Before you start to present anything, you need to have a clear idea of why you are creating this dashboard and what information it needs to show.",What story are you trying to tell?,"Before you start to present anything, you need to have a clear idea of why you are creating this dashboard and what information it needs to show.","An overview of performance on a project or over the calendar year? To compare relative time such as this week vs last week, or this month vs last month? To show detail on an element such as a specific product, employee, or region?","Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,"What story are you trying to tell?: Before you start to present anything, you need to have a clear idea of why you are creating this dashboard and what information it needs to show."
D001.004,Draw out your dashboard to get an idea of where everything should go.,Decide on the layout,Draw out your dashboard to get an idea of where everything should go.,,"Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,Decide on the layout: Draw out your dashboard to get an idea of where everything should go.
D001.005,Your goal is to create a dashboard that presents the data in a meaningful way that your readers can understand instantly,Think of your audience,"When/if you create a dashboard, your goal is to present the data in a meaningful way, for your readers to understand it instantly.",,"Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,Think of your audience: Your goal is to create a dashboard that presents the data in a meaningful way that your readers can understand instantly
D001.006,"If you imagine yourself as the reader, and more importantly use and test the dashboard during and after creation, you will get it right.",Think of your audience,"When/if you imagine yourself as the reader and more importantly use and test the dashboard during and after creation, you will get it right.",,"Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,"Think of your audience: If you imagine yourself as the reader, and more importantly use and test the dashboard during and after creation, you will get it right."
D001.007,Use the right visuals,Use the right visuals,Use the right visuals,,An area that many people get wrong is the visuals that they choose,,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,Use the right visuals: Use the right visuals
D001.008,"Add interactive elements to your dashboards so that users can easily navigate, filter, and sort the information.",Make it interactive,"Add interactive elements to your dashboards so that users can easily navigate, filter, and sort the information.",The image below has the column chart selected. You can see the options to decide how that chart could interact with the five other elements on the dashboard. There is also a Slicer to set a date range filter.,"This benefits everybody, and most importantly the dashboards audience.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,"Make it interactive: Add interactive elements to your dashboards so that users can easily navigate, filter, and sort the information."
D001.009,"If something does not add to the story your dashboard is trying to tell, get rid of it. ",Remove the fluff,"If a component doesn’t support your data story, remove it",,"Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,"Remove the fluff: If something does not add to the story your dashboard is trying to tell, get rid of it. "
D001.010,"If you are comparing a value to another such as a target, KPI, or last week's value, indicate whether there was success or not, and what was the margin of difference.",Add context,"If comparing against targets or benchmarks, clearly show performance outcome and margin","In the Google Analytics sample below the green font indicates good, and the red is bad. With the bounce rate metric having a down arrow, the green font provides that context that down is an improvement with that data type.","Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,"Add context: If you are comparing a value to another such as a target, KPI, or last week's value, indicate whether there was success or not, and what was the margin of difference."
D001.011,[Showing context] can be done using color or simple symbols such as up and down arrows. ,Add context,"When showing context, use visual cues like color or symbols (e.g., arrows)","In the Google Analytics sample below the green font indicates good, and the red is bad. With the bounce rate metric having a down arrow, the green font provides that context that down is an improvement with that data type.","This significantly reduces the confusion when looking at visuals such as this. Even if you understand what you are looking at, the clarity is important to prevent it from being misunderstood. ",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,Add context: [Showing context] can be done using color or simple symbols such as up and down arrows. 
D001.012,Add more emphasis to headers and key values by making fonts larger or use a darker color.,Use contrast,"When emphasizing headers and key values, use larger fonts or darker colors",There are also red borders to section off the headings and the totals are in a bold font to emphasize them.,"Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,Use contrast: Add more emphasis to headers and key values by making fonts larger or use a darker color.
D001.013,Create associations by organizing and grouping dashboard elements sensibly.,Organize and group elements,"When arranging dashboard elements, group them sensibly",,"Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,Organize and group elements: Create associations by organizing and grouping dashboard elements sensibly.
D001.014,Be consistent with fonts and colors,Be consistent with fonts and colors,"When styling your dashboard, be consistent with fonts and colors",,You do not want to dazzle your readers,,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,Be consistent with fonts and colors: Be consistent with fonts and colors
D001.015,Use descriptive labels on your visuals.,Use colors and labels effectively,"When adding visuals, use descriptive labels",,Don’t throw away the opportunity to add more value to your dashboard,,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,Use colors and labels effectively: Use descriptive labels on your visuals.
D001.016,Colors can also add more depth to a visual,Use colors and labels effectively,"When enhancing visuals, use color","In the image below, a Conditional Formatting rule has been set for the values in the map. Those above a specified target automatically change to green.","Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,Use colors and labels effectively: Colors can also add more depth to a visual
D001.017,Don’t try to fit all the information on one page.,Access to more detail,"When designing your layout, don’t fit everything on one page",In the image below there is a drillthrough set for the countries and it is being applied on Germany.,"Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,Access to more detail: Don’t try to fit all the information on one page.
D002.001,Be clear about what you’re trying to achieve,Be clear about what you’re trying to achieve,"When building your dashboard, be clear about what you're trying to achieve",https://www.geckoboard.com/dashboard-examples/executive/,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4,https://www.geckoboard.com/best-practice/dashboard-design/,Be clear about what you’re trying to achieve: Be clear about what you’re trying to achieve
D002.002,Include only the most important content,Include only the most important content,"When choosing content, include only what’s most important",Simplified Image,Every inch on your TV dashboard is valuable real-estate. Adding too much information can detract from what’s important and make everything harder to find. If you’re really struggling to fit everything in then you may need more than one dashboard.,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4,https://www.geckoboard.com/best-practice/dashboard-design/,Include only the most important content: Include only the most important content
D002.003,Consider data ink ratio,Consider data ink ratio,"When formatting visuals, consider data-ink ratio",Simplified Image,"Well designed dashboards (and other data visualizations) aim to use as little non-data ink as possible – in other words, they have a good data ink ratio.",Tufte,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4,https://www.geckoboard.com/best-practice/dashboard-design/,Consider data ink ratio: Consider data ink ratio
D002.004,Round your numbers,Round your numbers,"When showing numbers, round them",Simplified Image,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4,https://www.geckoboard.com/best-practice/dashboard-design/,Round your numbers: Round your numbers
D002.005,Use the most efficient visualization,Use the most efficient visualization,"When visualizing data, use the most efficient chart type, because of miscommunication + for better insight delivery.",Simplified Image,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4,https://www.geckoboard.com/best-practice/dashboard-design/,Use the most efficient visualization: Use the most efficient visualization
D002.006,pie charts and area charts are rarely the best choice of visualization.,Use the most efficient visualization,"When choosing charts, avoid pie and area charts, because of limited clarity + for better visual accuracy.",,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4,https://www.geckoboard.com/best-practice/dashboard-design/,Use the most efficient visualization: pie charts and area charts are rarely the best choice of visualization.
D002.007,Group your related metrics,Group your related metrics,"When designing, group related metrics, because of scattered information + for clearer organization.",Simplified Image,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4,https://www.geckoboard.com/best-practice/dashboard-design/,Group your related metrics: Group your related metrics
D002.008,Giving groups a title makes them easier to spot.,Group your related metrics,"When grouping elements, add a title, because of unmarked clusters + for easier recognition.",,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4,https://www.geckoboard.com/best-practice/dashboard-design/,Group your related metrics: Giving groups a title makes them easier to spot.
D002.009,Be consistent,Be consistent,"When designing visuals, be consistent, because of erratic design + for cohesive interpretation.",Simplified Image,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4,https://www.geckoboard.com/best-practice/dashboard-design/,Be consistent: Be consistent
D002.010,Use size and position to show hierarchy,Use size and position to show hierarchy,"When establishing hierarchy, use size and position, because of equal-weighted elements + for clearer structure.",,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4,https://www.geckoboard.com/best-practice/dashboard-design/,Use size and position to show hierarchy: Use size and position to show hierarchy
D002.011,"In terms of positioning, the top left corner of your dashboard is the best location",Use size and position to show hierarchy,"When placing content, prioritize the top left corner, because of natural viewing behavior + for maximum visibility.",,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4,https://www.geckoboard.com/best-practice/dashboard-design/,"Use size and position to show hierarchy: In terms of positioning, the top left corner of your dashboard is the best location"
