doc_id,baseline_x,baseline_y,run_x,run_y,displacement
doc_0000,13.534029,11.8821125,13.534029,11.8821125,0.0
doc_0001,8.450104,13.81756,8.450104,13.81756,0.0
doc_0002,12.566357,14.168791,12.566357,14.168791,0.0
doc_0003,12.344942,13.0513315,12.344942,13.0513315,0.0
doc_0004,10.470373,12.657184,10.470373,12.657184,0.0
doc_0005,12.430322,12.559891,12.430322,12.559891,0.0
doc_0006,12.34979,12.371907,12.34979,12.371907,0.0
doc_0007,13.224437,15.6371155,13.224437,15.6371155,0.0
doc_0008,8.642627,15.092008,8.642627,15.092008,0.0
doc_0009,10.851806,8.95197,10.851806,8.95197,0.0
doc_0010,12.692984,9.380802,12.692984,9.380802,0.0
doc_0011,11.107769,8.913134,11.107769,8.913134,0.0
doc_0012,11.998389,12.368772,11.998389,12.368772,0.0
doc_0013,14.008674,10.934197,14.008674,10.934197,0.0
doc_0014,12.340753,11.818116,12.340753,11.818116,0.0
doc_0015,12.524098,9.728571,12.524098,9.728571,0.0
doc_0016,10.260905,13.71489,10.260905,13.71489,0.0
doc_0017,12.309244,12.529582,12.309244,12.529582,0.0
doc_0018,9.686213,13.70926,9.686213,13.70926,0.0
doc_0019,10.593004,12.122341,10.593004,12.122341,0.0
doc_0020,10.500133,11.437543,10.500133,11.437543,0.0
doc_0021,8.592728,12.504304,8.592728,12.504304,0.0
doc_0022,7.8441863,10.660816,7.8441863,10.660816,0.0
doc_0023,11.399739,10.036429,11.399739,10.036429,0.0
doc_0024,12.784344,11.042875,12.784344,11.042875,0.0
doc_0025,14.146618,11.3044815,14.146618,11.3044815,0.0
doc_0026,13.302011,11.27353,13.302011,11.27353,0.0
doc_0027,8.176055,13.782903,8.176055,13.782903,0.0
doc_0028,12.536248,11.276589,12.536248,11.276589,0.0
doc_0029,10.542472,11.477816,10.542472,11.477816,0.0
doc_0030,10.86758,14.43094,10.86758,14.43094,0.0
doc_0031,12.794361,11.167025,12.794361,11.167025,0.0
doc_0032,12.449038,11.890441,12.449038,11.890441,0.0
doc_0033,9.322442,15.720792,9.322442,15.720792,0.0
doc_0034,11.781235,10.0182905,11.781235,10.0182905,0.0
doc_0035,15.166575,12.159748,15.166575,12.159748,0.0
doc_0036,13.793076,13.577548,13.793076,13.577548,0.0
doc_0037,15.083526,13.796495,15.083526,13.796495,0.0
doc_0038,12.118245,13.394842,12.118245,13.394842,0.0
doc_0039,11.638378,13.308206,11.638378,13.308206,0.0
doc_0040,12.3853445,14.532227,12.3853445,14.532227,0.0
doc_0041,9.976574,12.618854,9.976574,12.618854,0.0
doc_0042,11.095385,12.210451,11.095385,12.210451,0.0
doc_0043,10.54838,11.859241,10.54838,11.859241,0.0
doc_0044,9.138447,10.383617,9.138447,10.383617,0.0
doc_0045,9.768538,10.220744,9.768538,10.220744,0.0
doc_0046,8.379353,11.0578375,8.379353,11.0578375,0.0
doc_0047,10.718453,9.233833,10.718453,9.233833,0.0
doc_0048,8.980114,11.731206,8.980114,11.731206,0.0
doc_0049,14.134539,11.376806,14.134539,11.376806,0.0
doc_0050,14.348917,12.4535,14.348917,12.4535,0.0
doc_0051,12.233125,12.578342,12.233125,12.578342,0.0
doc_0052,8.135556,13.792926,8.135556,13.792926,0.0
doc_0053,11.995827,12.718788,11.995827,12.718788,0.0
doc_0054,14.04958,11.442527,14.04958,11.442527,0.0
doc_0055,14.2511215,11.799548,14.2511215,11.799548,0.0
doc_0056,11.570006,11.704528,11.570006,11.704528,0.0
doc_0057,10.285005,13.964941,10.285005,13.964941,0.0
doc_0058,8.640719,15.107827,8.640719,15.107827,0.0
doc_0059,12.098087,12.960399,12.098087,12.960399,0.0
doc_0060,11.52776,15.31049,11.52776,15.31049,0.0
doc_0061,11.5216,12.18273,11.5216,12.18273,0.0
doc_0062,15.032589,10.006232,15.032589,10.006232,0.0
doc_0063,13.662404,13.454722,13.662404,13.454722,0.0
doc_0064,9.289502,15.740622,9.289502,15.740622,0.0
doc_0065,9.206658,15.689041,9.206658,15.689041,0.0
doc_0066,11.197115,12.115636,11.197115,12.115636,0.0
doc_0067,13.186662,11.850349,13.186662,11.850349,0.0
doc_0068,9.640291,13.796784,9.640291,13.796784,0.0
doc_0069,13.030017,11.82927,13.030017,11.82927,0.0
doc_0070,13.515457,12.510788,13.515457,12.510788,0.0
doc_0071,11.552682,15.465199,11.552682,15.465199,0.0
doc_0072,12.432345,14.139658,12.432345,14.139658,0.0
doc_0073,11.269778,11.909705,11.269778,11.909705,0.0
doc_0074,11.393663,10.379617,11.393663,10.379617,0.0
doc_0075,11.606114,13.31605,11.606114,13.31605,0.0
doc_0076,10.527222,11.393573,10.527222,11.393573,0.0
doc_0077,11.533579,15.577748,11.533579,15.577748,0.0
doc_0078,12.148633,9.479403,12.148633,9.479403,0.0
doc_0079,10.0668545,15.055308,10.0668545,15.055308,0.0
doc_0080,11.449946,13.086729,11.449946,13.086729,0.0
doc_0081,9.2474375,15.773637,9.2474375,15.773637,0.0
doc_0082,11.424654,15.583723,11.424654,15.583723,0.0
doc_0083,11.39673,11.847625,11.39673,11.847625,0.0
