cluster,rank,token,score
0,1,use,0.0238380549250698
0,2,dashboard,0.022465402224062413
0,3,data,0.021964545240906554
0,4,label,0.019902038602679056
0,5,element,0.018434094187489716
0,6,clear,0.017573316312473473
0,7,visual,0.016066530466100935
0,8,number,0.015259589542077581
1,1,dashboard,0.08018881155251213
1,2,user,0.0763266600215052
1,3,design,0.05573234558540444
1,4,need,0.04408093728643301
1,5,keep,0.03011000305482726
1,6,feedback,0.027005897993298555
1,7,element,0.02623950268094838
1,8,dashboard design,0.024396016792711965
2,1,audience,0.0979598246146908
2,2,story,0.09465408754211595
2,3,space,0.0871246915364799
2,4,white space,0.07510481851219886
2,5,white,0.07385214720276928
2,6,data,0.04006387298092288
2,7,left,0.038725086136831705
2,8,data story,0.03666056662126736
3,1,sure,0.19395265482229804
3,2,make sure,0.19382988747414687
3,3,make,0.14657089777383372
3,4,map,0.0798602398066085
3,5,choropleth map,0.06791723825994492
3,6,choropleth,0.06791723825994492
3,7,using choropleth,0.04667557687870424
3,8,using,0.045354915713326865
4,1,font,0.04978580578430093
4,2,size,0.04534939540116237
4,3,consistent,0.04375610466330775
4,4,layout,0.04094798771014219
4,5,dashboard,0.039069327549481385
4,6,make,0.03756785972905986
4,7,use,0.03030414443268828
4,8,text,0.029464640734839648
5,1,chart,0.1206786114609136
5,2,data,0.05611850472306115
5,3,line,0.04982290167149751
5,4,bar,0.04581615209481796
5,5,visualization,0.04183829064124273
5,6,scale,0.039818305247058275
5,7,pie,0.03675482346917109
5,8,graph,0.03571878767885955
6,1,data,0.06309947860786455
6,2,user,0.055682168858567874
6,3,information,0.05129917352798239
6,4,dashboard,0.04654144732023411
6,5,important,0.03497853875189088
6,6,metric,0.02888800954800172
6,7,view,0.024984704533993957
6,8,much,0.017879802912618026
7,1,color,0.12582970119603293
7,2,use,0.0447909545182051
7,3,value,0.03873263492857684
7,4,group,0.0371600048212683
7,5,plot,0.03158032874633342
7,6,data,0.026987426591005042
7,7,use color,0.02591612409538566
7,8,difference,0.02367016901821228
