ID,Full Guideline,Slogan,Restructured,Example,Argument,Support/Citation,Data Domain,Tool Used/Mentioned,Dashboard Type,Authors,Work,Year,Publisher,How I found it ,Format,Reason for Rating,Subjective Trust Score:,Link,Guideline + Slogan,doc_id,cleaned_text,tokens,preprocessed_text,cluster
D001.001,think about your dashboard on different devices.,Decide on the layout,"When designing, think about your dashboard on different devices.",,"Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3.0,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,Decide on the layout: think about your dashboard on different devices.,doc_0000,think about your dashboard on different devices.,"['think', 'dashboard', 'different', 'device']",think dashboard different device,4
D001.002,"The areas of the dashboard that get the most attention are the top and down the left. Therefore this is where your most important information, visuals, and interactive elements should be used.",Decide on the layout,"When designing your dashboard, place your most important information, visuals, and interactive elements in the top and down the left because the areas of the dashboard that get the most attention are the top and down the left.",The retail analysis dashboard below shows high-level metrics at the top and works down to the more granular data such as sales by city.,"Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3.0,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,"Decide on the layout: The areas of the dashboard that get the most attention are the top and down the left. Therefore this is where your most important information, visuals, and interactive elements should be used.",doc_0001,"The areas of the dashboard that get the most attention are the top and down the left. Therefore this is where your most important information, visuals, and interactive elements should be used.","['area', 'dashboard', 'get', 'attention', 'top', 'left', 'therefore', 'important', 'information', 'visuals', 'interactive', 'element', 'used']",area dashboard get attention top left therefore important information visuals interactive element used,2
D001.003,"Before you start to present anything, you need to have a clear idea of why you are creating this dashboard and what information it needs to show.",What story are you trying to tell?,"Before you start to present anything, you need to have a clear idea of why you are creating this dashboard and what information it needs to show.","An overview of performance on a project or over the calendar year? To compare relative time such as this week vs last week, or this month vs last month? To show detail on an element such as a specific product, employee, or region?","Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3.0,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,"What story are you trying to tell?: Before you start to present anything, you need to have a clear idea of why you are creating this dashboard and what information it needs to show.",doc_0002,"Before you start to present anything, you need to have a clear idea of why you are creating this dashboard and what information it needs to show.","['start', 'present', 'anything', 'need', 'clear', 'idea', 'creating', 'dashboard', 'information', 'need', 'show']",start present anything need clear idea creating dashboard information need show,1
D001.004,Draw out your dashboard to get an idea of where everything should go.,Decide on the layout,Draw out your dashboard to get an idea of where everything should go.,,"Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3.0,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,Decide on the layout: Draw out your dashboard to get an idea of where everything should go.,doc_0003,Draw out your dashboard to get an idea of where everything should go.,"['draw', 'dashboard', 'get', 'idea', 'everything']",draw dashboard get idea everything,1
D001.005,Your goal is to create a dashboard that presents the data in a meaningful way that your readers can understand instantly,Think of your audience,"When/if you create a dashboard, your goal is to present the data in a meaningful way, for your readers to understand it instantly.",,"Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3.0,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,Think of your audience: Your goal is to create a dashboard that presents the data in a meaningful way that your readers can understand instantly,doc_0004,Your goal is to create a dashboard that presents the data in a meaningful way that your readers can understand instantly,"['goal', 'create', 'dashboard', 'present', 'data', 'meaningful', 'way', 'reader', 'understand', 'instantly']",goal create dashboard present data meaningful way reader understand instantly,6
D001.006,"If you imagine yourself as the reader, and more importantly use and test the dashboard during and after creation, you will get it right.",Think of your audience,"When/if you imagine yourself as the reader and more importantly use and test the dashboard during and after creation, you will get it right.",,"Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3.0,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,"Think of your audience: If you imagine yourself as the reader, and more importantly use and test the dashboard during and after creation, you will get it right.",doc_0005,"If you imagine yourself as the reader, and more importantly use and test the dashboard during and after creation, you will get it right.","['imagine', 'reader', 'importantly', 'use', 'test', 'dashboard', 'creation', 'get', 'right']",imagine reader importantly use test dashboard creation get right,0
D001.007,Use the right visuals,Use the right visuals,Use the right visuals,,An area that many people get wrong is the visuals that they choose,,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3.0,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,Use the right visuals: Use the right visuals,doc_0006,Use the right visuals,"['use', 'right', 'visuals']",use right visuals,0
D001.008,"Add interactive elements to your dashboards so that users can easily navigate, filter, and sort the information.",Make it interactive,"Add interactive elements to your dashboards so that users can easily navigate, filter, and sort the information.",The image below has the column chart selected. You can see the options to decide how that chart could interact with the five other elements on the dashboard. There is also a Slicer to set a date range filter.,"This benefits everybody, and most importantly the dashboards audience.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3.0,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,"Make it interactive: Add interactive elements to your dashboards so that users can easily navigate, filter, and sort the information.",doc_0007,"Add interactive elements to your dashboards so that users can easily navigate, filter, and sort the information.","['add', 'interactive', 'element', 'dashboard', 'user', 'easily', 'navigate', 'filter', 'sort', 'information']",add interactive element dashboard user easily navigate filter sort information,1
D001.009,"If something does not add to the story your dashboard is trying to tell, get rid of it. ",Remove the fluff,"If a component doesn’t support your data story, remove it",,"Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3.0,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,"Remove the fluff: If something does not add to the story your dashboard is trying to tell, get rid of it. ",doc_0008,"If something does not add to the story your dashboard is trying to tell, get rid of it.","['something', 'add', 'story', 'dashboard', 'trying', 'tell', 'get', 'rid']",something add story dashboard trying tell get rid,2
D001.010,"If you are comparing a value to another such as a target, KPI, or last week's value, indicate whether there was success or not, and what was the margin of difference.",Add context,"If comparing against targets or benchmarks, clearly show performance outcome and margin","In the Google Analytics sample below the green font indicates good, and the red is bad. With the bounce rate metric having a down arrow, the green font provides that context that down is an improvement with that data type.","Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3.0,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,"Add context: If you are comparing a value to another such as a target, KPI, or last week's value, indicate whether there was success or not, and what was the margin of difference.",doc_0009,"If you are comparing a value to another such as a target, KPI, or last week's value, indicate whether there was success or not, and what was the margin of difference.","['comparing', 'value', 'another', 'target', 'kpi', 'last', 'week', 'value', 'indicate', 'whether', 'success', 'margin', 'difference']",comparing value another target kpi last week value indicate whether success margin difference,7
